Product name,Product description,Quantity,Product unit price,Product Total price,Product running total.,Product link
Arduino Uno,Microcontroller,1,dh30.90,dh30.90,dh30.90,https://www.amazon.ae/UNO-ATmega328P-Development-Straight-Developer/dp/B07PFCGYRS/ref=sr_1_5?crid=1X2ZTZ1N6SMK0&dib=eyJ2IjoiMSJ9.BzN1cxzWetR7SVnEpW0xGzViCzK_xiT_dXrznjIHgFn-4c7qqZzPRoBXZHdjBAvgToEh3L1vnM-z1p0rVbm4Qx-cF1Tysg5jSJgomU10_WvJW-mp8Ac9qD16xpvtaUk7T9O4Tl5JHmNFDxKS386WRzdEePRzgKarEYcbEJF6iEGS1cvJ0BFZoyUySbPUVW4RoFJfcxeRlo8o7B3ActDEdH-55Lr3pW7Ze39PpSYNPP6uXzEX_1jTfjsCc9QhpnofHer8_QDbdaHjfkpnPHvIo2kInCnR0thTES-7-TKHzFE.1CE6peJBg1fu45V3Ydx8diJAWvJ2gbmA6Et3jNasphc&dib_tag=se&keywords=arduino+uno&qid=1781968475&sprefix=arduni%2Caps%2C242&sr=8-5
Ws2812b RGB STRIP,led halo indicator,1,dh3.75,dh3.75,dh34.65,https://ar.aliexpress.com/item/1005005537967685.html?spm=a2g0o.productlist.main.33.33cdbzETbzETZS&algo_pvid=a9013252-320f-4695-b6e3-6962c6ab1911&algo_exp_id=a9013252-320f-4695-b6e3-6962c6ab1911-32&pdp_ext_f=%7B%22order%22%3A%22430%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2124.97%213.75%21%21%216.60%210.99%21%402140c1c317819686126313756e355c%2112000037837060344%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207250696&curPageLogUid=1lvdTaLHOCXD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005537967685%7C_p_origin_prod%3A
jumper cables,for connecting components internally,1,dh12.45,dh12.45,dh47.10,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.3.3f54Sm5vSm5v79&productIds=1005003641187997%3A12000026613929397&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003641187997%7C_p_origin_prod%3A&pvid=9e64dc2e-3698-4b64-a84e-95a65a3cc80b
STARFIELD custom pcb,main board ,1,dh108.67,dh108.67,dh155.77,JLCPCB
MALE HEADERS,"LED , DHT11 PINS",1,dh3.75,dh3.75,dh159.52,https://ar.aliexpress.com/item/1005001514058091.html?spm=a2g0o.productlist.main.36.3f54Sm5vSm5v79&algo_pvid=9e64dc2e-3698-4b64-a84e-95a65a3cc80b&algo_exp_id=9e64dc2e-3698-4b64-a84e-95a65a3cc80b-33&pdp_ext_f=%7B%22order%22%3A%221797%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2110.90%213.75%21%21%212.88%210.99%21%4021015b7d17819687063057413efe8e%2112000016418976458%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207250687&curPageLogUid=lK0JHyx6snaf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001514058091%7C_p_origin_prod%3A
DHT11 MODULE,HUMIDTY AND TEMP SENSOR,1,dh17.48,dh17.48,dh177.00,https://ar.aliexpress.com/item/1005012263106656.html?spm=a2g0o.productlist.main.5.4a7e71f3V1ZJxD&algo_pvid=670a1238-f8a0-4c0d-894a-0de788330647&algo_exp_id=670a1238-f8a0-4c0d-894a-0de788330647-4&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%212.75%212.53%21%21%214.94%214.54%21%402140c1e917819700042381440ed79a%2112000057911460838%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=ZAkdCPA11OTj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012263106656%7C_p_origin_prod%3A
1602A LCD Display,Main Display,1,dh65.88,dh65.88,dh242.88,https://www.amazon.ae/naughtystarts-Character-Controller-Blacklight-Compatible/dp/B0B1QFDJ3Y/ref=sr_1_4_mod_primary_new?crid=2ACVNKAF4MYI9&dib=eyJ2IjoiMSJ9.TQXkXOfgKngvQZDPBJAtOCgHfvJGB8Q63kAEc5LV4tel2Vu8F9-JlvGYV1w_sF55gn36KRgcPGqaMx49i2Rkyq3KPAS3AQYXR8lq7SIWlZ4TjtTMqCRuKzPIAS8u7DCEGHdVEd_1BRJwpe_0RNnB3ooZkMq4VXbw51ZGvgcb-0so61qZEuOHqgS3oQB0tPySG_bfn-EjrsRnBQ9jOWUMUjgmmPK3kEAUsObNiZ2i7Xyj0B6NKpGyrqa3lBuq7Mj7_zmM9uGmEj4txTPxeV9P5Anta6nqGFGfbDGfEJxDgE0.Fwf8qUf-uhiwpwH0iKIeadZJ4xeNpVY2AeSG6xAGCmI&dib_tag=se&keywords=16%C3%972+character+LCD+%28HD44780+compatible%2C+parallel+interface%29&qid=1781970220&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=16+2+character+lcd+hd44780+compatible+parallel+interface+%2Caps%2C274&sr=8-4
Trimmer potentiometer,"Controls display contrast (Resistance: 3296W-103 10K 5pcs
)",1,dh10.90,dh10.90,dh253.78,https://ar.aliexpress.com/item/1005012099171886.html?spm=a2g0o.productlist.main.3.3f23KPdNKPdN6u&algo_pvid=45c970dc-fbbd-4119-a3a1-b4567b380d4e&algo_exp_id=45c970dc-fbbd-4119-a3a1-b4567b380d4e-2&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2127.22%2110.90%21%21%2148.82%2119.56%21%402140f53817819703455237511e9208%2112000057509589592%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000205015037&curPageLogUid=e5fHMHjDMXnP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012099171886%7C_p_origin_prod%3A
220 OHM RESISTOR,lcd backlight resistor 220 OHM,1,dh3.75,dh3.75,dh257.53,https://ar.aliexpress.com/item/1005004002774546.html?spm=a2g0o.productlist.main.13.2e3f174e0NjKTQ&algo_pvid=6f1bcc37-3564-4a84-98b8-65e29300350c&algo_exp_id=6f1bcc37-3564-4a84-98b8-65e29300350c-12&pdp_ext_f=%7B%22order%22%3A%222426%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%217.64%213.75%21%21%212.02%210.99%21%40212e520d17819704377103239ef63a%2112000027706686721%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207250687&curPageLogUid=g365oloRU88X&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004002774546%7C_p_origin_prod%3A
330 OHM RESISTOR,led strip resistor 330 OHM,1,dh3.75,dh3.75,dh261.28,https://ar.aliexpress.com/item/1005004002774546.html?spm=a2g0o.productlist.main.13.2e3f174e0NjKTQ&algo_pvid=6f1bcc37-3564-4a84-98b8-65e29300350c&algo_exp_id=6f1bcc37-3564-4a84-98b8-65e29300350c-12&pdp_ext_f=%7B%22order%22%3A%222426%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%217.64%213.75%21%21%212.02%210.99%21%40212e520d17819704377103239ef63a%2112000027706686721%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207250687&curPageLogUid=g365oloRU88X&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004002774546%7C_p_origin_prod%3A
M3 SCREW SET,"mounting pcb, screen and everything else 50 pcs 3mm",1,dh5.00,dh5.00,dh266.28,https://ar.aliexpress.com/item/33028169759.html?spm=a2g0o.productlist.main.48.53865b5fAhCGwY&algo_pvid=629709d9-a21f-428c-aced-7c4376ca24fc&algo_exp_id=629709d9-a21f-428c-aced-7c4376ca24fc-45&pdp_ext_f=%7B%22order%22%3A%22366%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%215.37%213.75%21%21%211.42%210.99%21%402102f0cc17811144146558226e9158%2112000025630870148%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&curPageLogUid=FOQQuqUMxISX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33028169759%7C_p_origin_prod%3A
m3 BRASS screw inserts,mounting pcb and screen 25pcs M3(OD 4.2mm) 3mm long,1,dh3.75,dh3.75,dh270.03,https://ar.aliexpress.com/item/1005008644449489.html?spm=a2g0o.productlist.main.15.5c98PTdUPTdUnz&algo_pvid=646aecf9-4d31-48e1-9c40-cdf7ee9b3685&algo_exp_id=646aecf9-4d31-48e1-9c40-cdf7ee9b3685-14&pdp_ext_f=%7B%22order%22%3A%221709%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%215.22%213.75%21%21%211.38%210.99%21%40212a6e2917811164120371247ee771%2112000046073221959%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&curPageLogUid=LHAMBBpKP3UV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008644449489%7C_p_origin_prod%3A
acrylic top lid,acrylic top for the enclosure  100x100x2mm,1,dh5.85,dh5.85,dh275.88,https://ar.aliexpress.com/item/1005008256425253.html?spm=a2g0o.productlist.main.6.1911xL2oxL2ofF&algo_pvid=7456dcc0-0fb5-456a-b38f-8728e87add74&algo_exp_id=7456dcc0-0fb5-456a-b38f-8728e87add74-5&pdp_ext_f=%7B%22order%22%3A%221563%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%218.73%214.95%21%21%2115.64%218.87%21%402141131717811216285594617eb081%2112000044391340394%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&curPageLogUid=aXpQDZTxyX5o&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008256425253%7C_p_origin_prod%3A
3d printing costs,enclosure printing in resin,1,dh47.38,dh47.38,dh323.26,JLC3DP
,,,,TOTAL FOR EVERYTHING,dh323.26,
,,,,IN USD,88.01$,
